category_id,views,likes,comments,duration_sec,subscriber_count
27,690256,5487,475,391.0,1420000.0
20,935456,48884,1635,925.0,6630000.0
24,41679915,209189,4177,833.0,1380000.0
2,931560,25277,2998,1291.0,5030000.0
10,1066463,20965,1513,1786.0,165000.0
28,6250449,172396,11141,1034.0,15400000.0
2,867388,26623,3441,1407.0,5030000.0
22,147502,1741,49,1614.0,795000.0
28,826592,38489,3774,1199.0,1210000.0
15,2398340,25502,3015,852.0,283000.0
17,509197,2062,114,1098.0,221000.0
24,1237935,46799,3843,1086.0,6990000.0
2,1237709,38797,8732,1014.0,5030000.0
28,10068260,283180,27900,2192.0,12600000.0
25,669776,10219,2664,1012.0,16900000.0
19,8472250,77965,9052,359.0,12600000.0
28,872278,19887,1685,282.0,2520000.0
15,721432,5868,879,3230.0,373000.0
25,597105,6247,1255,1376.0,4450000.0
27,11711782,54497,3683,8017.0,5780000.0
25,845398,12079,2159,657.0,3700000.0
17,3299084,33229,2865,526.0,199000.0
27,6492237,55082,3141,2699.0,5770000.0
19,244890,4388,733,2858.0,281000.0
25,533670,7938,0,319.0,480000.0
23,1792583,19206,1116,2087.0,13300000.0
22,1584153,65326,1097,323.0,7340000.0
22,420481,20927,417,579.0,4380000.0
26,2089765,36695,2052,1785.0,13400000.0
24,9468222,200935,39284,487.0,10600000.0
24,345603,4086,286,699.0,54200000.0
24,5255061,1564,0,792.0,1970000.0
28,4988175,15057,256,739.0,2400000.0
28,2380799,53019,2168,603.0,3020000.0
27,2217886,30290,531,4683.0,6050000.0
22,497163,36353,934,888.0,412000.0
26,2980488,60006,1230,292.0,206000.0
25,228323,2722,1177,828.0,5320000.0
26,2483827,45608,1051,317.0,2710000.0
17,497571,8039,288,315.0,32400.0
20,10008731,199822,17473,1002.0,16900000.0
25,564054,13282,3124,711.0,14600000.0
29,10211604,93644,7672,759.0,43900000.0
25,990912,41711,2954,901.0,6620000.0
29,2924155,50329,909,887.0,43900000.0
28,1721420,74620,6139,249.0,4060000.0
28,76002,335,42,941.0,2540.0
28,1740557,83591,5007,1083.0,3020000.0
24,5486855,172757,956,775.0,5820000.0
23,2640164,33728,4692,705.0,13300000.0
28,4382765,110500,4619,1346.0,16700000.0
24,74954236,363379,38897,360.0,11300000.0
28,2471782,31340,972,1165.0,1210000.0
28,2052515,53164,2358,3773.0,774000.0
27,1580729,38961,1030,616.0,1120000.0
26,10055637,564117,24185,825.0,9770000.0
24,4404704,214930,5460,1094.0,5820000.0
24,4308980,49453,4133,559.0,3010000.0
27,947031,28785,613,742.0,2360000.0
20,2069681,24396,1218,1113.0,2870000.0
24,12625708,178924,9536,1081.0,7190000.0
24,1669915,66217,3090,252.0,2520000.0
29,790720,10295,255,1450.0,27000000.0
10,10705711,85319,1764,5742.0,121000000.0
26,865609,24723,1935,1186.0,617000.0
28,105292,1218,74,1204.0,1380000.0
17,3463941,58131,1526,1685.0,35800000.0
27,1342252,20530,209,657.0,16800000.0
1,30075509,266292,2549,344.0,14600000.0
29,292398,6328,730,372.0,1090000.0
15,11857512,57600,2535,5545.0,313000.0
29,76382,7574,532,318.0,167000.0
29,250750,3656,143,320.0,37200.0
20,1699835,90442,2931,1092.0,3790000.0
15,120938,2586,244,973.0,372000.0
24,80160,5457,154,656.0,1180000.0
17,51932,1036,0,1428.0,70200.0
20,1905880,66349,1608,952.0,1690000.0
27,2896194,75022,2215,708.0,4640000.0
23,3694076,37323,846,298.0,33200000.0
29,206821,5613,130,792.0,43900000.0
26,690896,12158,272,387.0,3110000.0
2,1470871,10720,1004,780.0,10700000.0
22,659382,4195,292,282.0,28000.0
17,793814,8711,2377,290.0,14200000.0
24,1223956,72310,3912,638.0,10100000.0
20,6294993,96784,5030,968.0,14300000.0
24,9783713,396847,27132,441.0,23600000.0
28,2738124,86516,2053,625.0,5000000.0
1,4337268,19453,781,9722.0,38600000.0
15,82142705,225469,4742,636.0,941000.0
27,82593,3214,1049,808.0,1340000.0
22,4610552,187901,6958,1056.0,234000.0
22,12293,437,0,1861.0,154000.0
26,8416461,168354,2706,700.0,14200000.0
24,388724,17592,676,483.0,1420000.0
1,2850657,98943,2199,1074.0,1890000.0
22,1333310,8855,346,1906.0,768000.0
17,435200,3900,272,1259.0,6940000.0
22,1540700,23939,692,603.0,867000.0
26,8524916,236243,10433,1081.0,5540000.0
27,2133322,46954,238,280.0,5700000.0
22,147578,3470,151,460.0,2100.0
27,3774923,65527,1386,1095.0,4210000.0
28,2823953,77515,3690,579.0,3690000.0
20,20593965,416394,25988,610.0,23300000.0
22,1912522,59182,642,1720.0,677000.0
15,366667,0,75,393.0,1730.0
29,1700896,19734,751,1256.0,839000.0
26,5939183,178254,7254,900.0,14200000.0
24,140048,11118,469,1204.0,25100.0
20,2355128,174110,867,28576.0,7400000.0
26,9981635,259938,35205,972.0,5540000.0
10,7300123,35264,773,419.0,92200.0
22,200588,5012,19,328.0,949000.0
23,10267,788,162,301.0,1250000.0
28,444288,6867,625,4396.0,747000.0
29,604264,13110,588,1655.0,3750000.0
20,2915060,126706,1546,635.0,4840000.0
29,81957,2502,88,376.0,1520000.0
10,163963013,924845,33844,460.0,1980000.0
